"T.gas","T.liquid","U.gas:0","U.gas:1","U.gas:2","U.liquid:0","U.liquid:1","U.liquid:2","air.gas","alpha.gas","alpha.liquid","alphat.gas","alphat.liquid","d.gas","k.gas","k.liquid","nut.gas","nut.liquid","omega.gas","omega.liquid","p","p_rgh","particle.gas","particle.liquid","particleMass_inAir","water.liquid","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
350,350,0.088783,0.12644,-0.011772,0.087979,0.040032,-0.0038806,1,0.12364,0.87636,0.34211,1.6534,0.00057861,0.038671,0.013776,0.0024567,0.0012467,15.734,9.7031,1.3939e+07,1.394e+07,0,0.18181,16.111,0.81819,1,0.0084,0,0.15,0.0084
350,350,0.090926,0.12614,-0.012026,0.090099,0.039724,-0.0039439,1,0.12322,0.87678,0.34211,1.6479,0.00057861,0.038673,0.013779,0.0024567,0.0012425,15.734,9.706,1.3939e+07,1.394e+07,0,0.18181,16.043,0.81819,1,0.0086,0,0.15,0.0086
350,350,0.093068,0.12583,-0.01228,0.092218,0.039416,-0.0040072,1,0.1228,0.8772,0.3421,1.6423,0.00057861,0.038675,0.013783,0.0024567,0.0012383,15.735,9.7088,1.3939e+07,1.394e+07,0,0.18181,15.975,0.81819,1,0.0088,0,0.15,0.0088
350,350,0.095211,0.12553,-0.012535,0.094338,0.039108,-0.0040705,1,0.12239,0.87761,0.3421,1.6368,0.00057861,0.038678,0.013786,0.0024566,0.0012341,15.736,9.7116,1.3939e+07,1.394e+07,0,0.18181,15.907,0.81819,1,0.009,0,0.15,0.009
350,350,0.097354,0.12522,-0.012789,0.096457,0.038801,-0.0041338,1,0.12197,0.87803,0.3421,1.6313,0.00057861,0.03868,0.013789,0.0024566,0.00123,15.737,9.7144,1.3939e+07,1.394e+07,0,0.18181,15.84,0.81819,1,0.0092,0,0.15,0.0092
350,350,0.099497,0.12492,-0.013043,0.098577,0.038493,-0.0041971,1,0.12155,0.87845,0.34209,1.6257,0.00057861,0.038683,0.013792,0.0024566,0.0012258,15.738,9.7172,1.3939e+07,1.394e+07,0,0.18181,15.772,0.81819,1,0.0094,0,0.15,0.0094
350,350,0.10164,0.12461,-0.013298,0.1007,0.038185,-0.0042604,1,0.12113,0.87887,0.34209,1.6202,0.00057861,0.038685,0.013795,0.0024566,0.0012216,15.739,9.72,1.3939e+07,1.394e+07,0,0.18181,15.704,0.81819,1,0.0096,0,0.15,0.0096
350,350,0.10378,0.12431,-0.013552,0.10282,0.037877,-0.0043237,1,0.12071,0.87929,0.34209,1.6147,0.00057861,0.038687,0.013799,0.0024565,0.0012174,15.74,9.7228,1.3939e+07,1.394e+07,0,0.18181,15.637,0.81819,1,0.0098,0,0.15,0.0098
350,350,0.10593,0.124,-0.013806,0.10494,0.03757,-0.004387,1,0.1203,0.8797,0.34209,1.6091,0.00057861,0.03869,0.013802,0.0024565,0.0012133,15.741,9.7256,1.3939e+07,1.394e+07,0,0.18181,15.569,0.81819,1,0.01,0,0.15,0.01
350,350,0.10801,0.12339,-0.014054,0.107,0.036949,-0.0044471,1,0.11956,0.88044,0.34206,1.6042,0.00057861,0.038685,0.013804,0.0024563,0.0012096,15.74,9.728,1.3939e+07,1.394e+07,0,0.18181,15.467,0.81819,1,0.0102,0,0.15,0.0102
350,350,0.11007,0.12263,-0.014298,0.10904,0.036177,-0.0045055,1,0.11867,0.88133,0.34202,1.5997,0.00057861,0.038676,0.013806,0.0024561,0.0012062,15.737,9.7302,1.3939e+07,1.394e+07,0,0.18181,15.349,0.81819,1,0.0104,0,0.15,0.0104
350,350,0.11213,0.12186,-0.014542,0.11107,0.035404,-0.0045639,1,0.11778,0.88222,0.34199,1.5951,0.00057861,0.038667,0.013808,0.0024558,0.0012027,15.735,9.7324,1.3939e+07,1.394e+07,0,0.18181,15.23,0.81819,1,0.0106,0,0.15,0.0106
350,350,0.11419,0.1211,-0.014786,0.11311,0.034632,-0.0046223,1,0.11689,0.88311,0.34195,1.5906,0.00057861,0.038658,0.013811,0.0024556,0.0011993,15.733,9.7346,1.3939e+07,1.394e+07,0,0.18181,15.111,0.81819,1,0.0108,0,0.15,0.0108
350,350,0.11625,0.12033,-0.01503,0.11514,0.033859,-0.0046808,1,0.11599,0.88401,0.34192,1.586,0.00057861,0.038649,0.013813,0.0024553,0.0011959,15.731,9.7368,1.3939e+07,1.394e+07,0,0.18181,14.993,0.81819,1,0.011,0,0.15,0.011
350,350,0.11831,0.11957,-0.015274,0.11718,0.033087,-0.0047392,1,0.1151,0.8849,0.34188,1.5815,0.00057861,0.03864,0.013815,0.0024551,0.0011924,15.729,9.739,1.3939e+07,1.394e+07,0,0.18181,14.874,0.81819,1,0.0112,0,0.15,0.0112
350,350,0.12037,0.1188,-0.015518,0.11922,0.032314,-0.0047976,1,0.11421,0.88579,0.34185,1.5769,0.00057861,0.038631,0.013817,0.0024548,0.001189,15.727,9.7412,1.3939e+07,1.394e+07,0,0.18181,14.756,0.81819,1,0.0114,0,0.15,0.0114
350,350,0.12243,0.11804,-0.015762,0.12125,0.031542,-0.004856,1,0.11332,0.88668,0.34181,1.5724,0.00057861,0.038622,0.013819,0.0024545,0.0011856,15.725,9.7434,1.3939e+07,1.394e+07,0,0.18181,14.637,0.81819,1,0.0116,0,0.15,0.0116
350,350,0.12449,0.11727,-0.016006,0.12329,0.030769,-0.0049145,1,0.11243,0.88757,0.34177,1.5678,0.00057861,0.038613,0.013821,0.0024543,0.0011822,15.723,9.7456,1.3939e+07,1.394e+07,0,0.18181,14.519,0.81819,1,0.0118,0,0.15,0.0118
